month,campaign_id,metric_type,movie,count
2026-06,1,call,star-wars,268
2026-07,1,call,star-wars,243
2026-06,1,call,lord-of-the-rings,193
2026-06,2,call,star-wars,186
2026-08,1,call,star-wars,146
2026-07,1,call,lord-of-the-rings,145
2026-06,1,call,harry-potter,145
2026-07,2,call,star-wars,135
2026-06,2,call,lord-of-the-rings,129
2026-06,3,call,star-wars,117
2026-07,1,call,harry-potter,102
2026-08,1,call,lord-of-the-rings,94
2026-08,2,call,star-wars,94
2026-07,2,call,lord-of-the-rings,92
2026-07,2,call,harry-potter,90
2026-06,3,call,lord-of-the-rings,86
2026-09,1,call,star-wars,86
2026-06,2,call,harry-potter,84
2026-07,3,call,star-wars,84
2026-06,4,call,star-wars,84
2026-06,1,call,star-trek,79
2026-07,3,call,lord-of-the-rings,71
2026-06,3,call,harry-potter,70
2026-08,1,call,harry-potter,67
2026-07,1,call,star-trek,67
2026-08,3,call,star-wars,62
2026-07,4,call,star-wars,61
2026-08,2,call,lord-of-the-rings,61
2026-07,3,call,harry-potter,60
2026-06,4,call,lord-of-the-rings,60
2026-06,1,call,dune,59
2026-08,2,call,harry-potter,59
2026-06,2,call,star-trek,51
2026-09,1,call,lord-of-the-rings,51
2026-06,4,call,harry-potter,50
2026-07,4,call,lord-of-the-rings,47
2026-08,1,call,star-trek,46
2026-06,3,call,dune,45
2026-07,1,call,dune,44
2026-07,4,call,harry-potter,44
2026-08,4,call,star-wars,43
2026-07,2,call,dune,40
2026-08,3,call,harry-potter,40
2026-08,3,call,lord-of-the-rings,36
2026-09,2,call,star-wars,36
2026-07,2,call,star-trek,35
2026-06,2,call,dune,35
2026-07,1,call,the-matrix,35
2026-09,1,call,harry-potter,35
2026-06,3,call,star-trek,34
2026-09,2,call,lord-of-the-rings,32
2026-08,4,call,lord-of-the-rings,31
2026-06,5,call,harry-potter,29
2026-06,1,call,the-matrix,28
2026-06,5,call,star-wars,27
2026-07,3,call,star-trek,26
2026-08,1,call,dune,26
2026-06,5,call,lord-of-the-rings,26
2026-09,3,call,lord-of-the-rings,26
2026-09,3,call,star-wars,26
2026-09,1,call,dune,25
2026-08,2,call,star-trek,23
2026-07,3,call,dune,22
2026-09,2,call,harry-potter,21
2026-09,4,call,star-wars,21
2026-09,1,call,star-trek,21
2026-08,4,call,harry-potter,21
2026-07,4,call,star-trek,21
2026-08,3,call,star-trek,21
2026-07,4,call,dune,20
2026-06,2,call,the-matrix,20
2026-06,4,call,star-trek,20
2026-08,2,call,dune,19
2026-07,5,call,star-wars,19
2026-09,4,call,lord-of-the-rings,17
2026-08,1,call,the-matrix,16
2026-07,5,call,lord-of-the-rings,16
2026-08,5,call,star-wars,16
2026-07,5,call,harry-potter,15
2026-08,3,call,dune,14
2026-06,4,call,dune,14
2026-08,2,call,the-matrix,13
2026-09,2,call,dune,13
2026-08,5,call,lord-of-the-rings,13
2026-09,3,call,harry-potter,13
2026-09,1,call,the-matrix,13
2026-06,3,call,the-matrix,12
2026-09,2,call,star-trek,12
2026-09,5,call,star-wars,12
2026-08,4,call,dune,12
2026-08,5,call,harry-potter,12
2026-06,5,call,dune,11
2026-07,2,call,the-matrix,11
2026-09,3,call,dune,11
2026-07,3,call,the-matrix,11
2026-08,4,call,star-trek,10
2026-07,5,call,star-trek,9
2026-09,4,call,harry-potter,9
2026-07,4,call,the-matrix,9
2026-06,5,call,star-trek,9
2026-08,3,call,the-matrix,8
2026-09,5,call,harry-potter,8
2026-09,3,call,star-trek,6
2026-09,4,call,star-trek,5
2026-08,5,call,the-matrix,5
2026-08,5,call,star-trek,5
2026-08,5,call,dune,5
2026-09,2,call,the-matrix,4
2026-07,5,call,dune,4
2026-06,4,call,the-matrix,4
2026-09,4,call,dune,3
2026-09,5,call,the-matrix,3
2026-09,5,call,lord-of-the-rings,3
2026-09,4,call,the-matrix,3
2026-09,5,call,star-trek,3
2026-07,5,call,the-matrix,1
2026-08,4,call,the-matrix,1
2026-06,1,click,star-wars,1371
2026-07,1,click,star-wars,1008
2026-06,1,click,lord-of-the-rings,998
2026-06,2,click,star-wars,864
2026-06,1,click,harry-potter,743
2026-07,1,click,lord-of-the-rings,731
2026-07,2,click,star-wars,683
2026-08,1,click,star-wars,676
2026-06,2,click,lord-of-the-rings,617
2026-06,3,click,star-wars,599
2026-08,1,click,lord-of-the-rings,532
2026-07,1,click,harry-potter,513
2026-07,3,click,star-wars,464
2026-07,2,click,lord-of-the-rings,458
2026-06,2,click,harry-potter,447
2026-06,4,click,star-wars,443
2026-08,2,click,star-wars,423
2026-06,3,click,lord-of-the-rings,415
