id,state,state_full_name,number_zip_codes,population,population_white,population_black,population_hispanic,population_asian,population_male,population_female,highest_elevation
1,AK,Alaska,273,709930,518703,33128,39233,50394,369375,340555,4905
2,AL,Alabama,810,4779588,3336943,1281109,185597,67036,2320118,2459470,1644
3,AR,Arkansas,705,2916042,2296564,468921,186055,44943,1431688,1484354,2156
4,AS,American Samoa,1,0,0,0,0,0,0,0,9
5,AZ,Arizona,525,6394519,4853049,318679,1895172,230910,3177077,3217442,8824
6,CA,California,2584,37249464,22950657,2683172,14011989,5556409,18514066,18735398,10572
7,CO,Colorado,641,5029374,4240363,249812,1038740,185589,2520755,2508619,12678
8,CT,Connecticut,422,3574097,2846192,405600,479087,157088,1739614,1834483,1331
9,DC,District of Columbia,300,601370,243401,314275,54704,26844,283907,317463,351
10,DE,Delaware,96,897925,637383,205923,73221,33701,434935,462990,376
11,FL,Florida,1464,18798943,14487292,3199453,4223552,573075,9187200,9611743,318
12,FM,Federated States of Micronesia,4,0,0,0,0,0,0,0,0
13,GA,Georgia,950,9687711,5951569,3054103,853693,365497,4729194,4958517,2857
14,GU,Guam,13,0,0,0,0,0,0,0,412
15,HI,Hawaii,137,1360301,564323,38820,120842,780968,681243,679058,10347
16,IA,Iowa,1055,3046945,2831027,113231,151552,64517,1508631,1538314,1562
17,ID,Idaho,317,1566941,1432541,15940,175869,29702,784998,781943,9436
18,IL,Illinois,1568,12830581,9423001,1974113,2027574,668694,6292241,6538340,1004
19,IN,Indiana,957,6483792,5583357,654415,389707,126750,3189732,3294060,1175
20,KS,Kansas,747,2852940,2468177,202133,300036,83926,1415320,1437620,3841
21,KY,Kentucky,944,4345124,3882573,377362,133610,62256,2138131,2206993,3009
22,LA,Louisiana,719,4532830,2895561,1486667,192549,84333,2219024,2313806,386
23,MA,Massachusetts,680,6547612,5400442,508412,627654,394211,3166620,3380992,2228
24,MD,Maryland,603,5773561,3488896,1783899,470632,370044,2791766,2981795,2894
25,ME,Maine,485,1328255,1284773,21763,16935,18330,649999,678256,3360
26,MH,Marshall Islands,2,0,0,0,0,0,0,0,0
27,MI,Michigan,1158,9883612,8006941,1505514,436358,289607,4848099,5035513,1811
28,MN,Minnesota,960,5304096,4634981,327549,250261,247130,2632212,2671884,1977
29,MO,Missouri,1154,5989092,5070992,747466,212477,123569,2933571,3055521,1653
30,MP,Northern Mariana Islands,3,0,0,0,0,0,0,0,975
31,MS,Mississippi,531,2967323,1782831,1115803,81482,32560,1441251,1526072,601
32,MT,Montana,404,990003,909228,7920,28572,10483,496981,493022,9632
33,NC,North Carolina,1079,9535477,6697459,2151456,800120,252585,4645489,4889988,4426
34,ND,North Dakota,407,671781,615580,11083,13456,9191,339408,332373,3075
35,NE,Nebraska,616,1826766,1607889,98965,167416,40571,906504,920262,5042
36,NH,New Hampshire,281,1316573,1256051,21737,36704,34525,649450,667123,4704
37,NJ,New Jersey,722,8791894,6210995,1300363,1555144,795163,4279600,4512294,1434
38,NM,New Mexico,427,2056349,1472652,57027,953250,40454,1016003,1040346,11861
39,NV,Nevada,254,2701225,1890338,254460,716577,242922,1363949,1337276,8825
40,NY,New York,2150,19378077,13155268,3334532,3416916,1579494,9377127,10000950,3516
41,OH,Ohio,1415,11535123,9750418,1541521,354655,238269,5631485,5903638,1422
42,OK,Oklahoma,763,3751609,2906562,327621,332026,84170,1857104,1894505,4478
43,OR,Oregon,479,3831165,3337416,98478,450069,186279,1896055,1935110,7483
44,PA,Pennsylvania,2166,12702102,10603911,1507964,719659,402587,6190223,6511879,2661
45,PR,Puerto Rico,176,3723066,2927049,549416,3685863,10454,1783234,1939832,2228
46,PW,Palau,2,0,0,0,0,0,0,0,197
47,RI,Rhode Island,90,1052581,882294,77754,130655,36763,508407,544174,595
48,SC,South Carolina,534,4625364,3127075,1332188,235682,75674,2250101,2375263,1900
49,SD,South Dakota,385,813464,714802,14692,22102,10201,407064,406400,6310
50,TN,Tennessee,785,6339942,5015004,1106019,289285,113171,3090113,3249829,4152
51,TX,Texas,2598,25144800,18275846,3168437,9460658,1110661,12471853,12672947,5538
52,UT,Utah,344,2763264,2447395,43207,358327,77741,1387983,1375281,11819
53,VA,Virginia,1213,8001239,5682135,1653578,631834,522201,3926088,4075151,3896
54,VI,Virgin Islands,16,0,0,0,0,0,0,0,227
55,VT,Vermont,308,625741,606588,9343,9208,10463,308206,317535,2497
56,WA,Washington,715,6712346,5460808,324707,754861,603568,3343550,3368796,5477
57,WI,Wisconsin,879,5686814,4995674,403526,336045,151512,2822295,2864519,1809
58,WV,West Virginia,851,1852774,1765439,76930,22259,16463,913478,939296,4372
59,WY,Wyoming,194,563839,522932,7286,50252,6730,287545,276294,9897
